strategy,snippet_id,raw_response,parsed_extraction,cost_usd,latency_s
zero_shot,j01,"```json
{
  ""company"": ""Acme Corp"",
  ""role"": ""Senior Software Engineer"",
  ""years_experience_required"": 5
}
```","{'company': 'Acme Corp', 'role': 'Senior Software Engineer', 'years_experience_required': 5}",0.0,2.534
zero_shot,j02,"```json
{
  ""company"": ""Northwind Ltd."",
  ""role"": ""Data Analyst"",
  ""years_experience_required"": 2
}
```","{'company': 'Northwind Ltd.', 'role': 'Data Analyst', 'years_experience_required': 2}",0.0,1.813
zero_shot,j03,"```json
{
  ""company"": ""Globex International"",
  ""role"": ""Product Manager - Growth"",
  ""years_experience_required"": 4
}
```","{'company': 'Globex International', 'role': 'Product Manager - Growth', 'years_experience_required': 4}",0.0,2.192
zero_shot,j04,"```json
{
  ""company"": ""Initech"",
  ""role"": ""Lead DevOps Engineer"",
  ""years_experience_required"": 6
}
```","{'company': 'Initech', 'role': 'Lead DevOps Engineer', 'years_experience_required': 6}",0.0,1.916
zero_shot,j05,"```json
{
  ""company"": ""Hooli"",
  ""role"": ""Junior Frontend Developer"",
  ""years_experience_required"": null
}
```","{'company': 'Hooli', 'role': 'Junior Frontend Developer', 'years_experience_required': None}",0.0,2.357
zero_shot,j06,"```json
{
  ""company"": ""Pied Piper Inc."",
  ""role"": ""Senior ML Engineer"",
  ""years_experience_required"": 7
}
```","{'company': 'Pied Piper Inc.', 'role': 'Senior ML Engineer', 'years_experience_required': 7}",0.0,2.579
zero_shot,j07,"```json
{
  ""company"": ""Soylent Industries"",
  ""role"": ""Engineering Manager"",
  ""years_experience_required"": 3
}
```","{'company': 'Soylent Industries', 'role': 'Engineering Manager', 'years_experience_required': 3}",0.0,2.101
zero_shot,j08,"```json
{
  ""company"": ""Wonka Confectionery Ltd."",
  ""role"": ""Senior UX Researcher"",
  ""years_experience_required"": 5
}
```","{'company': 'Wonka Confectionery Ltd.', 'role': 'Senior UX Researcher', 'years_experience_required': 5}",0.0,1.882
zero_shot,j09,"```json
{
  ""company"": ""Stark Industries"",
  ""role"": ""Cybersecurity Analyst"",
  ""years_experience_required"": 3
}
```","{'company': 'Stark Industries', 'role': 'Cybersecurity Analyst', 'years_experience_required': 3}",0.0,1.877
zero_shot,j10,"```json
{
  ""company"": ""Cyberdyne Systems"",
  ""role"": ""AI/ML Research Scientist"",
  ""years_experience_required"": null
}
```","{'company': 'Cyberdyne Systems', 'role': 'AI/ML Research Scientist', 'years_experience_required': None}",0.0,2.1
few_shot,j01,"```json
{""company"": ""Acme Corp"", ""role"": ""Senior Software Engineer"", ""years_experience_required"": 5}
```","{'company': 'Acme Corp', 'role': 'Senior Software Engineer', 'years_experience_required': 5}",0.0001,1.872
few_shot,j02,"```json
{""company"": ""Northwind Ltd"", ""role"": ""Data Analyst"", ""years_experience_required"": 2}
```","{'company': 'Northwind Ltd', 'role': 'Data Analyst', 'years_experience_required': 2}",0.0001,1.948
few_shot,j03,"```json
{""company"": ""Globex International"", ""role"": ""Product Manager - Growth"", ""years_experience_required"": 4}
```","{'company': 'Globex International', 'role': 'Product Manager - Growth', 'years_experience_required': 4}",0.0001,2.177
few_shot,j04,"```json
{""company"": ""Initech"", ""role"": ""Lead DevOps Engineer"", ""years_experience_required"": 6}
```","{'company': 'Initech', 'role': 'Lead DevOps Engineer', 'years_experience_required': 6}",0.0001,2.284
few_shot,j05,"```json
{""company"": ""Hooli"", ""role"": ""Junior Frontend Developer"", ""years_experience_required"": null}
```","{'company': 'Hooli', 'role': 'Junior Frontend Developer', 'years_experience_required': None}",0.0001,4.338
few_shot,j06,"```json
{""company"": ""Pied Piper Inc."", ""role"": ""Senior ML Engineer"", ""years_experience_required"": 7}
```","{'company': 'Pied Piper Inc.', 'role': 'Senior ML Engineer', 'years_experience_required': 7}",0.0001,1.977
few_shot,j07,"```json
{""company"": ""Soylent Industries"", ""role"": ""Engineering Manager"", ""years_experience_required"": 3}
```","{'company': 'Soylent Industries', 'role': 'Engineering Manager', 'years_experience_required': 3}",0.0001,1.95
few_shot,j08,"```json
{""company"": ""Wonka Confectionery Ltd"", ""role"": ""Senior UX Researcher"", ""years_experience_required"": 5}
```","{'company': 'Wonka Confectionery Ltd', 'role': 'Senior UX Researcher', 'years_experience_required': 5}",0.0001,2.424
few_shot,j09,"```json
{""company"": ""Stark Industries"", ""role"": ""Cybersecurity Analyst"", ""years_experience_required"": 3}
```","{'company': 'Stark Industries', 'role': 'Cybersecurity Analyst', 'years_experience_required': 3}",0.0001,1.965
few_shot,j10,"```json
{""company"": ""Cyberdyne Systems"", ""role"": ""AI/ML Research Scientist"", ""years_experience_required"": null}
```","{'company': 'Cyberdyne Systems', 'role': 'AI/ML Research Scientist', 'years_experience_required': None}",0.0001,2.048
structured,j01,"{
  ""company"": ""Acme Corp"",
  ""role"": ""Senior Software Engineer"",
  ""years_experience_required"": 5
}","{'company': 'Acme Corp', 'role': 'Senior Software Engineer', 'years_experience_required': 5}",0.0,2.113
structured,j02,"{
  ""company"": ""Northwind Ltd"",
  ""role"": ""Data Analyst"",
  ""years_experience_required"": 2
}","{'company': 'Northwind Ltd', 'role': 'Data Analyst', 'years_experience_required': 2}",0.0,5.979
structured,j03,"{
  ""company"": ""Globex International"",
  ""role"": ""Product Manager - Growth"",
  ""years_experience_required"": 4
}","{'company': 'Globex International', 'role': 'Product Manager - Growth', 'years_experience_required': 4}",0.0,2.327
structured,j04,"{
  ""company"": ""Initech"",
  ""role"": ""Lead DevOps Engineer"",
  ""years_experience_required"": 6
}","{'company': 'Initech', 'role': 'Lead DevOps Engineer', 'years_experience_required': 6}",0.0,2.915
structured,j05,"{
  ""company"": ""Hooli"",
  ""role"": ""Junior Frontend Developer"",
  ""years_experience_required"": null
}","{'company': 'Hooli', 'role': 'Junior Frontend Developer', 'years_experience_required': None}",0.0,2.085
structured,j06,"{
  ""company"": ""Pied Piper Inc."",
  ""role"": ""Senior ML Engineer"",
  ""years_experience_required"": 7
}","{'company': 'Pied Piper Inc.', 'role': 'Senior ML Engineer', 'years_experience_required': 7}",0.0,2.521
structured,j07,"{
  ""company"": ""Soylent Industries"",
  ""role"": ""Engineering Manager"",
  ""years_experience_required"": 3
}","{'company': 'Soylent Industries', 'role': 'Engineering Manager', 'years_experience_required': 3}",0.0,2.086
structured,j08,"{
  ""company"": ""Wonka Confectionery Ltd."",
  ""role"": ""Senior UX Researcher"",
  ""years_experience_required"": 5
}","{'company': 'Wonka Confectionery Ltd.', 'role': 'Senior UX Researcher', 'years_experience_required': 5}",0.0,2.299
structured,j09,"{
  ""company"": ""Stark Industries"",
  ""role"": ""Cybersecurity Analyst"",
  ""years_experience_required"": 3
}","{'company': 'Stark Industries', 'role': 'Cybersecurity Analyst', 'years_experience_required': 3}",0.0,2.077
